epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
89,702.015,0.90045,0.65406,0.01585,0.74426,0.65994,0.70083,0.42052,1.52762,1.34777,0.04169,8.68902e-05,8.68902e-05,8.68902e-05
90,709.562,0.90195,0.65143,0.01588,0.74131,0.67973,0.69899,0.42144,1.53562,1.35605,0.04195,8.21322e-05,8.21322e-05,8.21322e-05
91,717.418,0.89769,0.66127,0.01577,0.73636,0.67905,0.70107,0.41676,1.52999,1.32099,0.04179,7.74911e-05,7.74911e-05,7.74911e-05
92,724.876,0.89456,0.6428,0.01573,0.75065,0.66708,0.7021,0.42133,1.53565,1.31758,0.04201,7.29698e-05,7.29698e-05,7.29698e-05
93,732.589,0.89204,0.65368,0.01571,0.73099,0.66597,0.69943,0.42071,1.53896,1.34691,0.04218,6.85717e-05,6.85717e-05,6.85717e-05
94,740.247,0.88943,0.65168,0.01548,0.68262,0.7007,0.69699,0.417,1.53472,1.35178,0.04216,6.42995e-05,6.42995e-05,6.42995e-05
95,747.831,0.88256,0.63965,0.01538,0.72582,0.67127,0.6972,0.4151,1.54353,1.3462,0.04225,6.01564e-05,6.01564e-05,6.01564e-05
96,755.532,0.88507,0.64237,0.01547,0.73627,0.6761,0.70155,0.42066,1.53561,1.35245,0.04204,5.6145e-05,5.6145e-05,5.6145e-05
97,763.316,0.88482,0.6507,0.01538,0.74051,0.67628,0.70303,0.42085,1.53391,1.34282,0.042,5.22683e-05,5.22683e-05,5.22683e-05
98,771.008,0.87305,0.61946,0.01541,0.72596,0.68625,0.6984,0.41821,1.53704,1.37385,0.04219,4.85288e-05,4.85288e-05,4.85288e-05
99,778.662,0.8844,0.64694,0.0155,0.75446,0.65345,0.70173,0.4213,1.53475,1.36764,0.04208,4.4929e-05,4.4929e-05,4.4929e-05
100,786.299,0.87948,0.63154,0.01532,0.7098,0.67895,0.6936,0.4167,1.53531,1.36939,0.04217,4.14716e-05,4.14716e-05,4.14716e-05
101,794.121,0.86631,0.62632,0.01518,0.7139,0.67799,0.69818,0.42018,1.53383,1.38243,0.04202,3.81587e-05,3.81587e-05,3.81587e-05
102,801.623,0.86149,0.62648,0.01514,0.74432,0.65758,0.70177,0.42311,1.53602,1.3546,0.0421,3.49928e-05,3.49928e-05,3.49928e-05
103,809.139,0.86561,0.63277,0.01505,0.71277,0.67439,0.6983,0.41971,1.53352,1.37461,0.04207,3.19759e-05,3.19759e-05,3.19759e-05
104,816.905,0.87714,0.64125,0.01542,0.70977,0.68404,0.69517,0.41519,1.53675,1.37465,0.0422,2.91101e-05,2.91101e-05,2.91101e-05
105,824.689,0.86868,0.63045,0.01512,0.71046,0.68138,0.7001,0.41739,1.53413,1.37499,0.04199,2.63975e-05,2.63975e-05,2.63975e-05
