epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
92,1082.73,0.85312,0.60648,0.01491,0.85279,0.7504,0.8219,0.54107,1.46333,1.05268,0.04038,7.29698e-05,7.29698e-05,7.29698e-05
93,1092.34,0.86412,0.61364,0.01535,0.83671,0.76491,0.81783,0.53781,1.45085,1.034,0.03996,6.85717e-05,6.85717e-05,6.85717e-05
94,1102.07,0.85811,0.5986,0.01535,0.79869,0.80528,0.82402,0.54435,1.45398,1.02894,0.04007,6.42995e-05,6.42995e-05,6.42995e-05
95,1114.42,0.8518,0.60917,0.015,0.82159,0.78842,0.82447,0.54326,1.45276,1.02949,0.03994,6.01564e-05,6.01564e-05,6.01564e-05
96,1129.22,0.84013,0.59498,0.01493,0.83273,0.77483,0.82037,0.54293,1.44901,1.03956,0.03982,5.6145e-05,5.6145e-05,5.6145e-05
97,1142.36,0.84896,0.6147,0.01511,0.83748,0.77138,0.8232,0.5452,1.44905,1.05528,0.03981,5.22683e-05,5.22683e-05,5.22683e-05
98,1152.12,0.84896,0.60402,0.01493,0.80783,0.7829,0.82062,0.54403,1.44765,1.07165,0.03985,4.85288e-05,4.85288e-05,4.85288e-05
99,1161.72,0.84584,0.60075,0.01482,0.8241,0.78796,0.8225,0.54499,1.45146,1.05962,0.04001,4.4929e-05,4.4929e-05,4.4929e-05
100,1171.42,0.83176,0.58443,0.01478,0.82836,0.77856,0.82224,0.544,1.45719,1.04651,0.04015,4.14716e-05,4.14716e-05,4.14716e-05
101,1184.47,0.83319,0.59153,0.01472,0.82928,0.78316,0.82237,0.54516,1.45531,1.04002,0.04015,3.81587e-05,3.81587e-05,3.81587e-05
102,1198.96,0.83158,0.58166,0.01474,0.83135,0.77734,0.82637,0.54844,1.45423,1.03224,0.04002,3.49928e-05,3.49928e-05,3.49928e-05
103,1211.58,0.82538,0.58061,0.01456,0.81433,0.79202,0.82553,0.54819,1.45577,1.02544,0.04009,3.19759e-05,3.19759e-05,3.19759e-05
104,1221.15,0.828,0.58111,0.01477,0.80907,0.7932,0.82217,0.54813,1.45514,1.03948,0.04007,2.91101e-05,2.91101e-05,2.91101e-05
105,1230.84,0.82018,0.57899,0.0144,0.80046,0.79502,0.8247,0.54689,1.45401,1.04174,0.04003,2.63975e-05,2.63975e-05,2.63975e-05
106,1240.41,0.83045,0.58663,0.01457,0.82753,0.77576,0.8205,0.54363,1.45828,1.04873,0.04017,2.38398e-05,2.38398e-05,2.38398e-05
107,1254.09,0.83107,0.58466,0.01457,0.8325,0.77355,0.82481,0.54375,1.45894,1.04873,0.04025,2.14388e-05,2.14388e-05,2.14388e-05
108,1268.76,0.81655,0.56764,0.01463,0.81017,0.78897,0.82316,0.54319,1.45951,1.04301,0.04028,1.91962e-05,1.91962e-05,1.91962e-05
109,1280.73,0.83174,0.58958,0.0148,0.83531,0.77862,0.82591,0.54719,1.45452,1.045,0.04005,1.71135e-05,1.71135e-05,1.71135e-05
110,1290.28,0.82292,0.56853,0.01462,0.81288,0.78894,0.82275,0.54537,1.45885,1.04674,0.04021,1.51921e-05,1.51921e-05,1.51921e-05
111,1301.27,0.75148,0.36203,0.01782,0.83521,0.7534,0.81112,0.52962,1.48766,1.07393,0.04123,1.34334e-05,1.34334e-05,1.34334e-05
112,1311.5,0.69432,0.2825,0.01608,0.81924,0.74811,0.80659,0.51899,1.49344,1.09705,0.04129,1.18384e-05,1.18384e-05,1.18384e-05
113,1324.58,0.68279,0.26097,0.01586,0.81804,0.74853,0.80549,0.52006,1.48949,1.10282,0.04116,1.04085e-05,1.04085e-05,1.04085e-05
114,1337.89,0.66917,0.26323,0.01537,0.81058,0.76184,0.80998,0.52366,1.48801,1.09685,0.0411,9.14441e-06,9.14441e-06,9.14441e-06
115,1349.58,0.67165,0.25119,0.01546,0.81814,0.77063,0.81521,0.52812,1.48423,1.0907,0.04098,8.04714e-06,8.04714e-06,8.04714e-06
116,1359.3,0.67158,0.24781,0.01544,0.81572,0.76995,0.81489,0.52881,1.48125,1.09571,0.04083,7.1174e-06,7.1174e-06,7.1174e-06
117,1368.74,0.66624,0.24301,0.01531,0.81336,0.77761,0.81744,0.52925,1.48217,1.08687,0.04084,6.35583e-06,6.35583e-06,6.35583e-06
118,1378.34,0.66255,0.24271,0.0151,0.81271,0.77944,0.81908,0.53146,1.47881,1.0921,0.04079,5.76296e-06,5.76296e-06,5.76296e-06
119,1390.47,0.65245,0.24162,0.01501,0.81272,0.77198,0.81688,0.53086,1.47473,1.08935,0.04067,5.33919e-06,5.33919e-06,5.33919e-06
120,1403.39,0.65209,0.24409,0.01482,0.81356,0.77264,0.81832,0.53472,1.47469,1.08825,0.04066,5.08481e-06,5.08481e-06,5.08481e-06
